OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu957,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Eubacteriaceae,0.6900,Eubacterium,0.6900
Otu958,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Lactobacillus,1.0000
Otu959,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Peptostreptococcaceae,1.0000,Paraclostridium,0.9900
Otu961,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Peptoniphilaceae,1.0000,Anaerococcus,1.0000
Otu960,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Propionibacteriales,1.0000,Propionibacteriaceae,1.0000,Cutibacterium,1.0000
Otu964,Bacteria,1.0000,Bacteroidetes,0.9800,Bacteroidia,0.6800,Bacteroidales,0.6800,Porphyromonadaceae,0.2600,Alistipes,0.1700
Otu962,Bacteria,1.0000,Firmicutes,1.0000,Negativicutes,1.0000,Veillonellales,0.9400,Veillonellaceae,0.9400,Veillonella,0.7900
Otu963,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Limosilactobacillus,1.0000
Otu967,Eukaryota,1.0000,Plantae,1.0000,Liliopsida,1.0000,Poales,1.0000,Poaceae,1.0000,Zea,1.0000
Otu965,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Bacillales,1.0000,Bacillaceae_1,1.0000,Geobacillus,0.9900
Otu966,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Actinomycetales,1.0000,Actinomycetaceae,1.0000,Schaalia,0.8000
Otu968,Bacteria,1.0000,Actinobacteria,1.0000,Actinobacteria,1.0000,Actinomycetales,1.0000,Actinomycetaceae,1.0000,Actinomyces,1.0000
Otu969,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Bacillales,1.0000,Bacillales_Incertae_Sedis_X,1.0000,Thermicanus,1.0000
Otu970,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,1.0000,Burkholderiales,1.0000,Oxalobacteraceae,1.0000,Pseudoduganella,0.9200
Otu971,Bacteria,1.0000,Proteobacteria,1.0000,Gammaproteobacteria,1.0000,Xanthomonadales,1.0000,Xanthomonadaceae,1.0000,Xanthomonas,1.0000
Otu973,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9900,Clostridium_IV,0.3400
